src_node_id,dst_node_id,relation_type,evidence_label,case_title
s003M02TE02,h001M02TE02,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TE03,h001M02TE03,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TE04,h001M02TE04,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TE05,h001M02TE05,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TE06,h001M02TE06,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TE07,h001M02TE07,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TE08,h001M02TE08,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02THR03,h001M02THR03,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02THR04,h001M02THR04,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02THR05,h001M02THR05,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02THR07,h001M02THR07,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TK01,h001M02TK01,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TK02,h001M02TK02,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TK04,h001M02TK04,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TK06,h001M02TK06,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TK07,h001M02TK07,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TK09,h001M02TK09,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TK10,h001M02TK10,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TK11,h001M02TK11,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TK12,h001M02TK12,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TP01,h001M02TP01,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TP03,h001M02TP03,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TP05,h001M02TP05,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TP06,h001M02TP06,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TP07,h001M02TP07,is_an_instance_of,G,HOO1:Hard Aggregation
s003M02TP12,h001M02TP12,is_an_instance_of,G,HOO1:Hard Aggregation
