"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Tradenames","Manufacturers","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Wang, H.; Zhang, P.; Nie, Z.; Ma, Z.; Ren, Z.; Zhang, Y.","Wang, Hongxiang (57226805690); Zhang, Peng (55547103187); Nie, Zifeng (57214364372); Ma, Zifan (58238129100); Ren, Zeyuan (59005238000); Zhang, Yuchen (57939955400)","57226805690; 55547103187; 57214364372; 58238129100; 59005238000; 57939955400","An intelligent integrated innovation design method based on flow functional genes coding and digitization","2025","Advanced Engineering Informatics","64","","103044","","","0","10.1016/j.aei.2024.103044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212201067&doi=10.1016%2Fj.aei.2024.103044&partnerID=40&md5=c6c18ea476c8489b4073ed8d8d0bf890","The efficient organization and integration of design knowledge are of paramount importance for product design. Nevertheless, at the conceptual design stage, design knowledge is marked by complexity and disorderliness, which renders the accurate identification of design knowledge arduous and integration inefficient, thereby leading to design solutions that fail to satisfy user requirements. To enhance the accuracy of acquisition and integration efficiency of design knowledge during the conceptual design stage, this paper proposes a computer-assisted digital expression of flow functional genes and an intelligent integrated innovative design approach. By drawing an analogy with the composition of biological genes, design knowledge from diverse fields is extracted in the form of flow functional gene (F-FG) to facilitate the standardized expression of design knowledge in different domains. Moreover, by integrating the principle of the three primary colors and digital technology, a digital F-FG is constructed to enable rapid invocation and integration of computer-assisted F-FG, thus improving the integration efficiency of design knowledge. The proposed method encompasses six steps. Firstly, an F-FG template is established. By making an analogy to the composition of biological genes, a flow functional gene (F-FG) template encompassing all functional and flow information is established. Secondly, Extracted flow functional gene (F-FG). Functional knowledge is extracted from patents and represented as F-FGs. Thirdly, digital F-FG representation and storage. Computer digital encoding technology and image generation technology are employed for the digital representation and storage of F-FGs. Fourthly, the screening process of digital F-FGs. Image similarity matching algorithms are utilized to obtain the requisite F-FGs. Fifthly, the integration process of F-FGs. Based on the degree of similarity of flow color blocks, input and output flow interfaces are spliced and integrated to form an F-FG integrated association network. Finally, designers obtain corresponding design solutions based on the relationships between F-FGs. Taking the design process of a water surface garbage cleaning system as an example, the feasibility and effectiveness of this method were verified. © 2024","Digital expression; Flow functional gene (F-FG); Intelligent integration innovation; TRIZ; Water surface garbage cleaning system","Benchmarking; Image representation; Integrated circuit design; Knowledge acquisition; Structural analysis; Structural dynamics; Surface cleaning; Cleaning system; Design knowledge; Digital expression; Flow functional gene; Functional genes; Intelligent integration; Intelligent integration innovation; TRIZ; Water surface; Water surface garbage cleaning system; Conceptual design","","","Elsevier Ltd","","","","","","English","Article","Final","","Scopus","2-s2.0-85212201067"
"Zakaria, S.U.; Basri, S.; Ahmad, M.M.; Techanamurthy, U.; Kamarudin, S.K.","Zakaria, Siti Umiara (59957266400); Basri, Sahriah (38360916700); Ahmad, Mismisuraya Meor (57553652300); Techanamurthy, Umawathy (57103619900); Kamarudin, S. K. (6506009910)","59957266400; 38360916700; 57553652300; 57103619900; 6506009910","Enhancing Students’ Interest in Fuel Cell Education Using Augmented Reality through Smartphone Applications in Malaysia; Meningkatkan Minat Pelajar terhadap Pendidikan Sel Fuel Menggunakan Realiti Terimbuh Melalui Aplikasi Telefon Pintar di Malaysia","2025","Jurnal Kejuruteraan","37","2","","935","946","0","10.17576/jkukm-2025-37(2)-30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008766327&doi=10.17576%2Fjkukm-2025-37%282%29-30&partnerID=40&md5=80f719190daf93b9512e46ee7c77f310","The rapid advancement of fuel cell systems, driven by technological progress, has led to increased global adoption. However, in Malaysia, exposure to renewable energy technologies among children remains inadequate, resulting in limited awareness of their importance. This study addresses this gap by leveraging augmented reality (AR) through a mobile application, SmartSelFuel, to enhance students’ interest in fuel cell education. Using the ADDIE instructional design model, the study began with an analysis of children’s understanding and challenges in grasping fuel cell concepts. The SmartSelFuel application was tested on 77 nine-year-old children using a quantitative research approach to evaluate improvements in knowledge acquisition and awareness of renewable energy. Results showed a remarkable 96.2% increase in students’ understanding and knowledge after interacting with the application. Statistical analysis confirmed a significant impact, with a p-value < 0.05. This study introduces SmartSelFuel as an innovative learning model that integrates AR to create an engaging and interactive educational experience. The application not only improved children’s cognitive performance but also significantly increased their interest in renewable energy innovations and heightened awareness of its critical role in sustainable development. These findings underscore the transformative potential of AR-based mobile applications in fostering renewable energy education and inspiring future generations to embrace sustainable practices. © 2025, National University of Malaysia. All rights reserved.","application; Augmented reality; education; fuel cell; smartphone","","","","National University of Malaysia","","","","","","Malay","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105008766327"
"Jiang, S.; Zhang, J.; Hua, L.; Yang, J.","Jiang, Shuangwu (59930629000); Zhang, Jiawei (59930546300); Hua, Liansheng (59457497800); Yang, Jinglin (59930713600)","59930629000; 59930546300; 59457497800; 59930713600","Implementation of Meteorological Database Question-Answering Based on Large-Scale Model Retrieval-Augmentation Generation; 基于大模型检索增强生成的气象数据库问答模型实现","2025","Computer Engineering and Applications","61","5","","113","121","0","10.3778/j.issn.1002-8331.2406-0230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007326350&doi=10.3778%2Fj.issn.1002-8331.2406-0230&partnerID=40&md5=9d2c29313ab039f9f9d1a15aded4045a","With the increasing demand for information retrieval and knowledge acquisition, question-answering systems are widely applied across various domains. However, there is a notable lack of specialized question-answering system research in the meteorological field, which severely limits the efficient utilization of meteorological information and the service efficiency of meteorological systems. To address this gap, it proposes a retrieval-augmented generation based question-answering implementation scheme for meteorological databases. This scheme designs a multi- channel query routing (McRR)method based on relational databases(SQL)and document-oriented data(NoSQL). Additionally, to adapt large model queries to databases and enhance the model’s understanding of query tables, the paper proposes an instruction query conversion method and a database table summarization method(termed as DNSUM)to improve the model’s semantic understanding of databases. Furthermore, by integrating key modules such as question understanding, re-rankers, and response generation, it constructs an end-to-end intelligent question-answering engine capable of retrieving relevant knowledge and generating answers from multiple data sources. Experimental results on the constructed meteorological question-answering dataset demonstrate that this engine effectively understands user queries and generates accurate answers, exhibiting strong retrieval and response capabilities. This research not only provides a question-answering solution for the meteorological field but also offers new directions for the application of question-answering technology in vertical domains. © 2025 Journal of Computer Engineering and Applications Beijing Co., Ltd.; Science Press. All rights reserved.","database question-answering; large language models(LLM); meteorological Q&A; retrieval-augmented generation(RAG); sructured query","Intelligent databases; Large datasets; Metadata; Modeling languages; Network security; Query languages; Query processing; Question answering; Relational database systems; Database question-answering; Language model; Large language model; Large-scale modeling; Meteorological fields; Meteorological Q&A; Question Answering; Question answering systems; Retrieval-augmented generation; Sructured query; Knowledge acquisition","","","Journal of Computer Engineering and Applications Beijing Co., Ltd.; Science Press","","","","","","Chinese","Article","Final","","Scopus","2-s2.0-105007326350"
"Huang, B.","Huang, Bing (55459824000)","55459824000","Exploring large language models in paleontology: a prototype RAG-based knowledge QA system; 大语言模型在古生物学中的应用初探——以基于RAG的知识问答系统为例","2025","Acta Palaeontologica Sinica","64","1","","100","112","0","10.19800/j.cnki.aps.2024047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006579386&doi=10.19800%2Fj.cnki.aps.2024047&partnerID=40&md5=5abf4d8049a849848b818bec44c58e5f","In recent years, AI for Science has profoundly transformed scientific research paradigms. With the rapid advancement of Large Language Models (LLMs), an increasing number of researchers have begun integrating these tools into various aspects of their scientific work. However, the potential of LLMs in scientific research extends far beyond basic applications such as literature review. Developing AI systems for scientific research requires a more systematic engineering approach. This paper presents a case study from graduate paleontology education, demonstrating the implementation and application of Naive RAG-based large language models in scientific research and discussing the future development of related systems. The study details the complete workflow of building a domain-specific knowledge base, including data cleaning, text segmentation, vectorization, and the implementation of retrieval-augmented generation (RAG). Through this practical case, we demonstrate how locally deployed RAG-based open-source LLMs can ensure data security and privacy while effectively facilitating domain knowledge acquisition through interactive Q&A, specifically in teaching paleontological taxonomy. Our experience shows that current developments in Graph RAG systems, Multi-agent RAG systems, and AI agents — already demonstrating promising results across various disciplines —could potentially enhance paleontological education and research. As paleontology increasingly embraces interdisciplinary approaches, staying abreast of these technological advancements is crucial for the field's future progress. Based on current technological trends, this paper further explores the application prospects, challenges, and potential strategies of retrieval-augmented generation adaptive reasoning systems that integrate Test-Time Compute (TTC) and Test-Time Scaling (TTS) in the context of paleontology's interdisciplinary development. © 2025 Chinese Academy of Sciences. All rights reserved.","artificial intelligence; brachiopods; large language model; palaeontology; RAG","","","","Chinese Academy of Sciences","","","","","","Chinese","Article","Final","","Scopus","2-s2.0-105006579386"
"Kramar, U.; Knez, M.","Kramar, Uroš (55530875100); Knez, Matjaž (36182904100)","55530875100; 36182904100","Gamified Learning for Sustainability: An Innovative Approach to Enhance Hydrogen Literacy and Environmental Awareness Through Simulation-Based Education","2025","Sustainability (Switzerland)","17","6","2694","","","2","10.3390/su17062694","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001048376&doi=10.3390%2Fsu17062694&partnerID=40&md5=a81fff0b43f7d850f034514fca27e2aa","The transition to sustainable energy systems presents a critical challenge for the 21st century, necessitating both technological advancements and transformative educational strategies to foster awareness and knowledge. Hydrogen technologies are pivotal for decarbonization, yet public understanding and acceptance remain limited. This study introduces and evaluates a novel gamified educational framework, uniquely integrating simulation-based learning, collaborative problem-solving, and adaptive instructional scaffolding to enhance hydrogen literacy and sustainability awareness. Unlike traditional pedagogical approaches, this method actively engages learners in real-world decision-making scenarios, bridging the gap between theoretical knowledge and practical applications. This study involved adolescents aged 13–15 from two distinct educational and cultural contexts, one in Europe and one in the Middle East. A pre–post study design assessed knowledge acquisition, gamification engagement, and environmental awareness shifts. Findings reveal statistically significant improvements in technical knowledge and strong positive perceptions of gamified learning as an effective sustainability education tool across both cultural groups (Europe and the Middle East). Variations in engagement across cultural contexts suggest the need for adaptive, context-sensitive educational frameworks. While the findings indicate significant short-term knowledge gains, this study does not assess long-term knowledge retention, which remains an important area for future research. This research contributes to sustainability education by demonstrating how strategically designed gamification can foster behavioral engagement, enhance environmental literacy, and support the global energy transition agenda. This study offers a pioneering perspective on integrating interactive learning methodologies to cultivate sustainability competencies among younger generations. © 2025 by the authors.","cross-cultural education; educational innovation; energy transition; environmental awareness; gamification; hydrogen literacy; hydrogen supply chain; serious games; simulation-based learning; sustainability education","alternative energy; education; energy flux; hydrogen; simulation; supply chain management; sustainability; Middle East","","","Multidisciplinary Digital Publishing Institute (MDPI)","","","","","","English","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105001048376"
"Baudrit, C.; Fernandez, C.; Couteaux, J.; Buche, P.; Bel, N.; Charles, C.; Notz, E.","Baudrit, Cédric (35610146000); Fernandez, Christophe (34871779400); Couteaux, Julien (58247315400); Buche, Patrice (57217441181); Bel, Nadege (56331759000); Charles, Cecile (58792949400); Notz, Eric (22954232900)","35610146000; 34871779400; 58247315400; 57217441181; 56331759000; 58792949400; 22954232900","Cheese eK-Book: a new web-based medium for capitalising on, structuring and transferring cheesemaking knowledge and know-how","2025","Journal of Documentation","81","2","","369","384","0","10.1108/JD-07-2024-0182","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001071328&doi=10.1108%2FJD-07-2024-0182&partnerID=40&md5=79ef7eecb564c59906ac96faafdb6aee","Purpose: This paper aims to address the challenges faced by the cheese industry, particularly concerning the preservation and transfer of traditional cheesemaking knowledge. It emphasises the need for innovative solutions in sustainably managing knowledge and skills amidst changing demographic and technological landscapes. Design/methodology/approach: Our approach consists of developing and implementing a digital tool, the cheese eK-Book, which is designed to capture, structure and disseminate cheesemaking knowledge. This tool is based on a semantic network and is accessible via smartphones and tablets and aims to facilitate continuous learning, knowledge transfer and collaboration across diverse stakeholders in the cheese production sector. Findings: The study highlights several critical findings. Traditional cheesemaking knowledge is currently at risk due to a number of factors, including the ageing of skilled workers, a lack of succession planning and pressures from globalisation and industrialisation. The European dairy sector is evolving towards more specialised and automated production, requiring a skilled workforce capable of adapting to these changes. There is a significant gap between traditional cheese makers and research institutions, hindering the adoption of new technologies and best practices. The cheese eK-Book offers a promising solution to these challenges by preserving knowledge, supporting continuous learning and enhancing collaboration between industry stakeholders and educational/research institutions. The tool facilitates access to scientific knowledge, promotes work–life balance by offering a range of flexible learning opportunities and supports tailored training programmes based on individual users’ needs. Originality/value: This article contributes original insights by proposing a comprehensive digital solution tailored to the specific, current needs of the cheese industry. By integrating modern technology with traditional knowledge, the cheese eK-Book not only preserves expertise but also fosters innovation and sustainability within the sector. It bridges the gap between practical cheesemaking skills and contemporary scientific understanding, addressing critical challenges such as knowledge retention, succession planning and workforce development in a rapidly evolving industry landscape. The strength of the Cheese eK-Book lies in its capacity to communicate knowledge, traditions and teachings across generations. This transfer of knowledge and skills plays a crucial role in preserving heritage and fostering connections across different generations within a community. © 2024, Emerald Publishing Limited.","Cheesemaking; Concept map; Knowledge engineering; Knowledge representation; Knowledge transfer","","","","Emerald Publishing","","","","","","English","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105001071328"
"Selvakumar, P.; Sakthiradha, M.; Jeeva, C.; Mujrai, P.; Satyanarayana, P.; Singh, D.","Selvakumar, P. (57201867763); Sakthiradha, M. (59672907900); Jeeva, C. (59672908000); Mujrai, Prasanta (59673367400); Satyanarayana, Pamarthi (59523976500); Singh, Dharmendra (58893574400)","57201867763; 59672907900; 59672908000; 59673367400; 59523976500; 58893574400","Global perspectives on smart education and sustainable development","2025","Smart Education and Sustainable Learning Environments in Smart Cities","","","","253","271","0","10.4018/979-8-3693-7723-9.ch015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000255293&doi=10.4018%2F979-8-3693-7723-9.ch015&partnerID=40&md5=e55abbde2320de169f026ad1395dc7d8","Smart education, a burgeoning field at the intersection of technology and education, holds significant promise in fostering sustainable development worldwide. This overview explores how smart education leverages advanced technologies to enhance learning experiences, promote environmental consciousness, and empower communities towards achieving sustainable development goals (SDGs). For instance, AI- powered adaptive learning systems can dynamically adjust learning content and pace based on students' strengths and weaknesses, ensuring efficient knowledge acquisition and retention. Furthermore, smart education platforms facilitate collaborative learning environments that transcend geographical boundaries. Virtual classrooms equipped with AR and virtual reality (VR) technologies enable immersive learning experiences, allowing students to explore distant ecosystems or historical sites virtually. By integrating sustainability principles into curriculum design, educators can instill environmental stewardship and social responsibility in future generations. © 2025, IGI Global. All rights reserved.","","","","","IGI Global","","","","","","English","Book chapter","Final","","Scopus","2-s2.0-86000255293"
"Peralta Martín-Palomino, A.; Olivas, J.A.; Romero, F.P.; Navarro, P.","Peralta Martín-Palomino, Arturo (36060107300); Olivas, Jose A. (6701866193); Romero, Francisco Pascual (7101944856); Navarro, Pedro (59661365100)","36060107300; 6701866193; 7101944856; 59661365100","The Influence of Ambient Factors on Emotional Wellbeing of Older Adults: A Review","2025","Sensors","25","4","1071","","","1","10.3390/s25041071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219181270&doi=10.3390%2Fs25041071&partnerID=40&md5=64afcc2885f43a6c20ff0cf553829f28","This work conducts a systematic review following PRISMA guidelines and using software tools like Covidence® 2024 and Nvivo® 15 for thematic analysis, aiming to examine significant studies on the impact of external factors on the emotional wellbeing of older adults and propose new conclusions and future research directions. In this context, studies using sensors to measure factors such as ambient temperature or lighting are key to understanding their impact on the emotional wellbeing of older individuals. These technologies offer opportunities to monitor and adapt environments in real-time, enabling targeted interventions. It is widely recognised that aspects like noise levels, ambient temperature, or lighting can influence an individual’s mood and overall wellbeing; however, it is crucial to further explore the effect of less studied factors. This review not only validates and questions popular beliefs about these factors but also highlights how the results can be useful for designing living environments that enhance the emotional wellbeing of the elderly and for establishing new directions in related research. By addressing these factors, this review provides actionable insights for policymakers, urban planners, and care providers to design environments that enhance the emotional wellbeing of older adults. Furthermore, this study not only validates previous knowledge but also highlights the need for future interdisciplinary interventions that integrate these factors holistically. © 2025 by the authors.","designing for the elderly; environmental design; home health; information processing; knowledge acquisition; sensors","Environmental design; Knowledge acquisition; Ambients; Designing for the elderly; Emotional wellbeing; External factors; Future research directions; Home health; Older adults; Software-tools; Systematic Review; Thematic analysis; Ecodesign; aged; emotion; human; illumination; mental health; physiology; temperature; Aged; Emotions; Humans; Lighting; Mental Health; Temperature","","","Multidisciplinary Digital Publishing Institute (MDPI)","","","","","","English","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85219181270"
"Martínez Ruiz, I.; Cano-Suñén, E.; Marco Marco, Á.; Fernández-Cuello, Á.","Martínez Ruiz, Ignacio (59590035900); Cano-Suñén, Enrique (55091090900); Marco Marco, Álvaro (13806609300); Fernández-Cuello, Ángel (55898672900)","59590035900; 55091090900; 13806609300; 55898672900","IoB Internet of Things (IoT) for Smart Built Environment (SBE): Understanding the Complexity and Contributing to Energy Efficiency; A Case Study in Mediterranean Climates","2025","Applied Sciences (Switzerland)","15","4","1724","","","2","10.3390/app15041724","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218463006&doi=10.3390%2Fapp15041724&partnerID=40&md5=714b1f00a434dfc95b803df714d3e9c0","Featured Application: Applying this work in public buildings allows energy savings by minimizing time when temperatures are above 21 °C with heating on while guaranteeing user thermal comfort. To meet the 2050 targets about climate change and decarbonization, accomplishing thermal comfort, Internet of Things (IoT) ecosystems are key enabling technologies to move the Built Environment (BE) towards Smart Built Environment (SBE). The first contributions of this paper conceptualise SBE from its dynamic and adaptative perspectives, considering the human habitat, and enunciate SBE as a multidimensional approach through six ways of inhabiting: defensive, projective, scientific, thermodynamic, subjective, and complex. From these premises, to analyse the performance indicators that characterise these multidisciplinary ways of inhabiting, an IoT-driven methodology is proposed: to deploy a sensor infrastructure to acquire experimental measurements; analyse data to convert them into context-aware information; and make knowledge-based decisions. Thus, this work tackles the inefficiency and high energy consumption of public buildings with the challenge of balancing energy efficiency and user comfort in dynamic scenarios. As current systems lack real-time adaptability, this work integrates an IoT-driven approach to enhance energy management and reduce discrepancies between measured temperatures and normative thresholds. Following the energy efficiency directives, the obtained results contribute to the following: understanding the complexity of the SBE by analysing its thermal performance, quantifying the potential of energy saving, and estimating its economic impact. The derived conclusions show that IoT-driven solutions allow the generation of real-data-based models on which to enhance SBE knowledge, by increasing energy efficiency and guaranteeing user comfort while minimising environmental effects and economic impact. © 2025 by the authors.","building thermal comfort; energy savings in buildings; hybrid twins; Internet of Things (IoT) ecosystems; knowledge-based decisions; smart built environment (SBE)","Benchmarking; Climate change; Decision making; Ecosystems; Knowledge acquisition; Thermal comfort; Window screens; Building thermal comfort; Built environment; Energy; Energy - saving in buildings; Hybrid twin; Internet of thing ecosystem; Knowledge based; Knowledge-based decision; Smart build environment; Thermal; Energy efficiency","","","Multidisciplinary Digital Publishing Institute (MDPI)","","","","","","English","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85218463006"
"Zhang, X.; Li, J.; Li, S.; Wang, X.","Zhang, Xingwang (58318074800); Li, Jie (60100892800); Li, Sifan (60100686800); Wang, Xiaopei (60102138500)","58318074800; 60100892800; 60100686800; 60102138500","Theoretical Model, Model Innovation, and Important Implications of DeepSeek Empowering Library Knowledge Services; DeepSeek 赋能图书馆知识服务的理论模型、模式创新与重要启示","2025","Journal of Library and Information Science in Agriculture","37","1","","4","16","0","10.13998/j.cnki.issn1002-1248.25-0140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016103889&doi=10.13998%2Fj.cnki.issn1002-1248.25-0140&partnerID=40&md5=024b546c49eaf48edcf205fd5f6fc873","[Purpose/Significance] The library is currently in a critical period of development for the ""15th Five-Year Plan"", and the intelligent strategy is one of the key areas of the library's ""15th Five-Year Plan"". The large-scale modeling technologies represented by DeepSeek, ZhipuAI, ChatGPT, etc. are reshaping the boundaries and forms of knowledge services through the deep integration of new-generation artificial intelligence technologies and knowledge service systems, providing important theoretical and technical support for the development of library intelligence strategies during the 15th Five-Year Plan period. Therefore, exploring how DeepSeek enhances library knowledge services has become one of the most cutting-edge issues worth paying attention to in the library and information science (LIS) field. [Method/Process] On the basis of a brief review of the current state of research on the integration of DeepSeek and library knowledge service theory, this article designs and proposes a theoretical model for DeepSeek to enhance library knowledge services. It explores the innovative model of DeepSeek that empowers library knowledge services from five aspects: knowledge discovery, knowledge acquisition, knowledge analysis, knowledge recombination, and knowledge utilization and thoroughly analyzes the four core dimensions of technology empowerment, business empowerment, user empowerment, and ecological empowerment. It also elaborates on the security issues of large models caused by the open source strategy, the intellectual property risks caused by technological innovation, the knowledge illusion problems caused by data traps and defects, and the information cocoon problems caused by technological applications. This study aims to provide some reference and inspiration for the research of related issues. [Results/Conclusions] The library is currently in a critical period of development for the ""15th Five-Year Plan"". DeepSeek's inherent technological advantages such as low cost, high performance, and open source ecosystem not only enable the library knowledge service system in multiple dimensions, reshape the boundaries and forms of knowledge services, comprehensively enhance users' knowledge service experience, but also provide stronger impetus for library construction, management, and service in the ""15th Five-Year Plan"" period. The theoretical model of DeepSeek empowerment of library knowledge services mainly includes four core dimensions: technology empowerment, business empowerment, user empowerment, and ecological empowerment. It has an impact on library service innovation in five aspects: knowledge discovery, knowledge acquisition, knowledge analysis, knowledge recombination, and knowledge utilization. At the same time, it can bring many problems, such as model security, intellectual property risks, knowledge illusions, and information cocoons. From the existing public information, DeepSeek can provide important technical support and core driving force for library knowledge service innovation in the era of artificial intelligence from four aspects: technical algorithms, training cost, open source ecology, and local lightweight deployment. Since the gradual formation of the DeepSeek open source ecosystem, more and more enterprises, communities, research institutions, teams, and developers have actively participated in and built the industry ecosystem, showing a strong magnetic field effect. Libraries should adhere to the principle of ""join if you can't win"", actively integrate into the DeepSeek open source ecosystem, and build an ecosystem of knowledge service ecosystems with library industry characteristics and disciplinary features. © 2025 Agricultural Information Institute, Chinese Academy of Agricultural Sciences. All rights reserved.","artificial general intelligence; DeepSeek; knowledge service; large scale modeling technology; technological empowerment; the ""15th Five-Year Plan""","","","","Agricultural Information Institute, Chinese Academy of Agricultural Sciences","","","","","","Chinese","Article","Final","","Scopus","2-s2.0-105016103889"
"Wang, Y.; Afzal, M.M.; Li, Z.; Zhou, J.; Feng, C.; Guo, S.; Quek, T.Q.S.","Wang, Yanhu (58395787600); Afzal, Muhammad Muzammil (59302337900); Li, Zhengyang (59302107900); Zhou, Jie (59302338000); Feng, Chenyuan (57195480512); Guo, Shuaishuai (56341211500); Quek, Tony Q.S. (55362784200)","58395787600; 59302337900; 59302107900; 59302338000; 57195480512; 56341211500; 55362784200","Large Language Model as a Catalyst: A Paradigm Shift in Base Station Siting Optimization","2025","IEEE Transactions on Cognitive Communications and Networking","11","6","","4313","4327","6","10.1109/TCCN.2025.3548615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000578758&doi=10.1109%2FTCCN.2025.3548615&partnerID=40&md5=4a90dcad00c878965732e9558b32f61a","Traditional base station siting (BSS) methods rely heavily on drive testing and user feedback, which are laborious and require extensive expertise in communication, networking, and optimization. As large language models (LLMs) and their associated technologies advance, particularly in the realms of prompt engineering and agent engineering, network optimization will witness a revolutionary approach. This approach entails the strategic use of well-crafted prompts to infuse human experience and knowledge into these sophisticated LLMs, and the deployment of autonomous agents as a communication bridge to seamlessly connect the machine language based LLMs with human users using natural language. Furthermore, our proposed framework incorporates retrieval-augmented generation (RAG) to enhance the system’s ability to acquire domain-specific knowledge and generate solutions, thereby enabling the customization and optimization of the BSS process. This integration represents the future paradigm of artificial intelligence (AI) as a service and AI for more ease. This research first develops a novel LLM-empowered BSS optimization framework, and heuristically proposes three different potential implementations: the strategies based on Prompt-optimized LLM (PoL), LLM-empowered autonomous BSS agent (LaBa), and Cooperative multiple LLM-based autonomous BSS agents (CLaBa). Through evaluation on real-world data, the experiments demonstrate that prompt-assisted LLMs and LLM-based agents can generate more efficient and reliable network deployments, noticeably enhancing the efficiency of BSS optimization and reducing trivial manual participation. © 2015 IEEE.","agent engineering; Base station siting; large language model (LLM); prompt engineering; retrieval-augmented generation (RAG)","Behavioral research; Engineering education; Engineering research; Ergonomics; Industrial research; Knowledge acquisition; Linear programming; Nonlinear programming; Problem oriented languages; Software design; Strategic planning; Agent engineering; Base station siting; Language model; Large language model; Model-based OPC; Optimisations; Paradigm shifts; Prompt engineering; Retrieval-augmented generation; ]+ catalyst; Systems analysis","","","Institute of Electrical and Electronics Engineers Inc.","","","","","","English","Article","Final","","Scopus","2-s2.0-86000578758"
"Arunnehru, J.; Vishnu, S.; Ganapathyappan, K.; Kumar, D.","Arunnehru, J. (56023631600); Vishnu, Souraj (57209477134); Ganapathyappan, Kavya (59660444600); Kumar, Deepak (59661275400)","56023631600; 57209477134; 59660444600; 59661275400","AI-Enhanced Learning Assistant Platform: An Advanced System for Q&A Generation from Provided Content, Answer Evaluation and Roadmap Generation","2025","Communications in Computer and Information Science","2362","","","332","346","0","10.1007/978-3-031-82386-2_26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219168680&doi=10.1007%2F978-3-031-82386-2_26&partnerID=40&md5=91bcc280d68a6e42bce912ca18a77e75","In today’s educational landscape, personalized and efficient learning experiences are increasingly sought after. This project presents an AI-Enhanced Learning Assistant Platform designed to transform the learning process. The platform offers a comprehensive suite of features aimed at optimizing knowledge acquisition and retention. This study covers automatic question and answer generation from provided textual learning resources. Utilizing cutting-edge language models and document analysis techniques, the system extracts relevant information and crafts challenging questions to comprehensively assess understanding. Leveraging state-of-the-art natural language processing models, the platform autonomously creates tailored questions, facilitates self-assessment, pinpointing students’ weak areas and provides actionable insights into learning progress. It prioritizes scalability, performance, and security and ensures seamless operation and user data integrity. We deem the AI-Enhanced Learning Assistant Platform represents a significant advancement in learning technology, through the convergence of artificial intelligence and natural language processing. Our project aims to enhance the current existing models by providing a platform for a personalized learning experience, only generating necessary information, helps in keeping track of performance of an individual and validate their own performance on the given topics. We can change the static prompts recursively which will automate the student evaluation. By empowering learners with personalized, adaptive, and interactive learning experiences, our platform aims to enhance the effectiveness and engagement of education. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Artificial Intelligence; assessment; knowledge acquisition; performance analysis; personalized learning; question and answer generation","Adversarial machine learning; Contrastive Learning; Knowledge acquisition; Natural language processing systems; Self-supervised learning; Students; Assessment; Enhanced learning; Language processing; Learning assistant; Learning experiences; Natural languages; Performance; Performances analysis; Personalized learning; Question and answer generation; Federated learning","","","Springer Science and Business Media Deutschland GmbH","","1st International Research Conference on Computing Technologies for Sustainable Development, IRCCTSD 2024","2024-05-09 through 2024-05-10","Chennai","327059","English","Conference paper","Final","","Scopus","2-s2.0-85219168680"
